date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance,open_,close_,high_,low_,volume_,landmark
2015-04-09,600122.SH,11.0265,11.1654,10.4211,10.6593,700472.72,1703,81.0781,84.1736,74.8869,71.6127,75.7262,73.6071,7466548.8643,-0.0344,0.0698,-1.5523,-1.943,-1.8596,-1.706,0.3181,v
2015-04-10,600122.SH,10.7684,11.7212,10.6196,11.7212,807844.6,1704,87.3854,85.2442,91.6677,83.043,82.446,78.4315,9468908.1255,0.0813,0.094,-1.922,-1.5764,-1.811,-1.8293,0.9672,-
2015-04-13,600122.SH,12.2572,12.2572,11.7708,11.9793,807801.38,1705,88.779,86.4225,93.4921,84.8251,83.6464,79.3872,9676895.0714,-0.0232,0.0406,-1.2459,-1.5611,-1.6886,-1.3368,0.991,^
2015-04-14,600122.SH,11.8999,12.1778,11.622,11.9594,523282.5,1706,89.5068,87.4506,93.6192,84.0082,83.1681,79.1052,6258144.7305,0.005,0.0465,-1.5789,-1.6574,-1.8584,-1.5323,-0.5421,v
2015-04-15,600122.SH,11.8899,12.8626,11.6021,12.2671,655484.29,1707,87.7134,87.5382,88.0639,86.4325,84.6489,80.2377,8040891.3339,0.0307,0.1028,-1.685,-1.6358,-1.5657,-1.6528,0.1377,-
2015-04-16,600122.SH,12.1083,13.3588,11.9892,13.1008,816644.44,1708,89.2223,88.0996,91.4679,90.912,87.8171,82.8638,10698695.4796,0.0758,0.1045,-1.7232,-1.2908,-1.4208,-1.5867,1.07,^
2015-04-17,600122.SH,13.2,13.7757,12.9023,12.932,786740.57,1709,84.4314,86.8768,79.5405,84.1608,83.9885,80.601,10174129.0512,-0.0207,0.0675,-1.2444,-1.5251,-1.3229,-1.2032,1.0187,-
2015-04-20,600122.SH,12.932,12.932,11.7113,11.9396,850296.73,1710,71.3763,81.71,50.709,55.2269,65.6358,69.0355,10152202.8375,-0.0831,0.1022,-1.5318,-2.2829,-1.9518,-2.0306,1.472,v
2015-04-21,600122.SH,11.9396,13.1305,11.9098,13.1305,742777.18,1711,74.5065,79.3088,64.9017,70.0529,73.2795,73.7517,9753035.762,0.0907,0.093,-2.2912,-1.9331,-2.1315,-2.2179,1.0497,-
2015-04-22,600122.SH,13.2496,14.4307,13.1305,14.0436,807040.54,1712,79.6186,79.4121,80.0316,77.0462,77.471,76.6029,11333754.5275,0.0565,0.0926,-1.8664,-1.4941,-1.5257,-1.7595,1.5003,-
2015-04-23,600122.SH,14.0933,14.7384,13.597,14.4208,660342.59,1713,83.0369,80.6203,87.8699,79.4277,78.9584,77.6494,9522668.4219,0.0227,0.0791,-1.4571,-1.3565,-1.4269,-1.5629,0.7948,-
2015-04-24,600122.SH,14.0436,15.8599,13.9047,15.6812,883668.8,1714,87.2922,82.8443,96.1881,85.4717,83.0402,80.6648,13856987.1866,0.1044,0.1247,-1.5581,-0.7576,-0.9036,-1.4913,2.2515,-
2015-04-27,600122.SH,15.7805,16.4554,15.4331,15.6911,802549.03,1715,86.2788,83.9891,90.8582,85.5118,83.0683,80.6862,12592877.0846,-0.0057,0.0652,-0.7242,-0.826,-0.675,-0.7303,2.1718,^
2015-04-28,600122.SH,15.6316,15.9194,15.046,15.6812,538553.4,1716,85.4128,84.4637,87.311,85.2294,82.9182,80.5933,8445163.5761,0.0032,0.0557,-0.875,-0.9123,-1.0185,-1.0153,0.4478,-
2015-04-29,600122.SH,15.5423,16.376,15.3835,16.0286,513181.08,1717,87.2764,85.4013,91.0266,87.0329,84.0234,81.3783,8225574.2589,0.0303,0.0619,-1.0025,-0.8397,-0.9005,-0.936,0.2314,-
2015-04-30,600122.SH,15.979,16.0385,15.4827,15.5324,420172.15,1718,85.0323,85.2783,84.5405,71.971,76.3285,76.7511,6526281.9027,-0.0288,0.0358,-0.8917,-1.151,-1.159,-0.973,-0.5336,-
2015-05-04,600122.SH,15.5224,15.7606,15.0957,15.3239,364054.35,1719,81.7242,84.0936,76.9853,66.1946,73.2533,74.8842,5578732.454,-0.013,0.0434,-1.1835,-1.353,-1.396,-1.2213,-0.924,-
2015-05-05,600122.SH,15.4728,15.6117,14.6391,14.9071,370719.11,1720,72.2938,80.1603,56.5608,55.5078,67.3371,71.2681,5526346.8447,-0.0379,0.0652,-1.3102,-1.7248,-1.622,-1.6032,-0.9617,-
2015-05-06,600122.SH,14.9269,15.979,14.9269,15.1651,488728.69,1721,66.4823,75.601,48.245,60.2721,69.0263,72.1371,7411619.4567,0.0157,0.0694,-1.7511,-1.837,-1.6447,-1.6541,-0.3637,-
2015-05-07,600122.SH,15.2048,15.3835,14.788,14.9468,337241.47,1722,57.94,69.714,34.3921,54.3616,65.8813,70.2608,5040680.8038,-0.0173,0.0398,-1.8511,-2.2782,-2.235,-1.9821,-1.2925,v
2015-05-08,600122.SH,15.056,15.7606,15.056,15.5125,398430.39,1723,54.6556,64.6946,34.5778,65.0265,69.7745,72.215,6180651.4249,0.0294,0.0454,-2.2567,-2.4023,-2.4849,-2.1382,-1.0148,-
2015-05-11,600122.SH,15.7805,17.0608,15.5621,16.9218,759455.0,1724,67.8572,65.7488,72.074,79.4103,76.929,76.269,12851345.619,0.0674,0.0886,-2.2501,-1.8008,-2.0862,-2.1726,1.1776,-
2015-05-12,600122.SH,17.0111,18.3312,16.9218,18.1724,686226.3,1725,77.1377,69.5451,92.3231,85.6813,81.2301,79.0935,12470378.8141,0.0639,0.0776,-1.7157,-0.8689,-1.2619,-1.3627,0.8346,^
2015-05-13,600122.SH,18.083,19.0755,17.5868,17.8051,734127.88,1726,75.2132,71.4345,82.7707,77.3757,76.6516,76.31,13071220.3162,-0.0156,0.0836,-0.9587,-1.2934,-0.6725,-0.8713,1.082,-
2015-05-14,600122.SH,17.8647,18.5098,17.4677,18.2319,448000.41,1727,77.137,73.3353,84.7404,80.0696,78.2086,77.2795,8167898.6751,0.0201,0.0572,-1.255,-1.007,-1.2297,-1.0716,-0.7079,-
2015-05-15,600122.SH,18.222,18.222,17.5868,17.7257,381075.08,1728,74.6161,73.7623,76.3239,68.4666,71.9967,73.554,6754822.5456,-0.028,0.0358,-1.0257,-1.4109,-1.4212,-1.0329,-1.1709,v
2015-05-18,600122.SH,17.7158,18.7579,17.4181,18.2418,406413.31,1729,76.5958,74.7068,80.3739,73.2154,74.2698,74.8442,7413710.3184,0.0288,0.0734,-1.4219,-1.1258,-1.108,-1.1345,-1.1517,-
2015-05-19,600122.SH,18.2518,18.619,17.8746,18.4899,358290.29,1730,79.8444,76.4193,86.6946,75.3562,75.3203,75.4451,6624751.6331,0.0129,0.0403,-1.104,-1.0373,-1.2635,-0.9054,-1.5597,-
2015-05-20,600122.SH,18.5098,20.336,18.3907,19.9886,571198.59,1731,84.3698,79.0695,94.9704,84.3967,80.5529,78.6585,11417460.1361,0.074,0.0973,-1.0407,-0.2123,-0.3812,-0.6805,-0.3718,-
2015-05-21,600122.SH,20.0481,20.8421,19.6611,20.336,487835.07,1732,86.3848,81.5079,96.1385,85.8415,81.5425,79.3133,9920613.9835,0.0142,0.0581,-0.1901,-0.0534,-0.1364,0.0638,-0.8651,^
2015-05-22,600122.SH,20.4938,21.0606,19.6884,20.1557,421208.58,1733,83.6352,82.217,86.4717,81.1611,79.259,78.0169,8489753.7759,-0.0168,0.0681,0.0292,-0.211,-0.08,0.0251,-1.2939,v
2015-05-25,600122.SH,19.8872,21.16,19.6884,20.8219,526672.74,1734,86.0783,83.5041,91.2267,84.8288,81.3627,79.3202,10966327.125,0.0449,0.0707,-0.3652,0.177,-0.0668,0.013,-0.6494,-
